unit_symbol,unit_name,category,prohibition_reason,violation_severity,penalty_clause
fl oz,Fluid Ounce,Imperial Volume,Prohibited under Rule 11 & Rule 12 of Legal Metrology (Packaged Commodities) Rules 2011. Metric SI units (ml/l) are mandatory in India.,CRITICAL,Section 36 Legal Metrology Act 2009 (Fine up to ₹25000 for first offence ₹50000 for second offence ₹100000/1 year imprisonment for subsequent offences)
floz,Fluid Ounce,Imperial Volume,Prohibited under Rule 11 & Rule 12 of Legal Metrology (Packaged Commodities) Rules 2011. Metric SI units (ml/l) are mandatory in India.,CRITICAL,Section 36 Legal Metrology Act 2009 (Fine up to ₹25000 for first offence ₹50000 for second offence ₹100000/1 year imprisonment for subsequent offences)
fl.oz,Fluid Ounce,Imperial Volume,Prohibited under Rule 11 & Rule 12 of Legal Metrology (Packaged Commodities) Rules 2011. Metric SI units (ml/l) are mandatory in India.,CRITICAL,Section 36 Legal Metrology Act 2009 (Fine up to ₹25000 for first offence ₹50000 for second offence ₹100000/1 year imprisonment for subsequent offences)
fl. oz,Fluid Ounce,Imperial Volume,Prohibited under Rule 11 & Rule 12 of Legal Metrology (Packaged Commodities) Rules 2011. Metric SI units (ml/l) are mandatory in India.,CRITICAL,Section 36 Legal Metrology Act 2009 (Fine up to ₹25000 for first offence ₹50000 for second offence ₹100000/1 year imprisonment for subsequent offences)
fl. oz.,Fluid Ounce,Imperial Volume,Prohibited under Rule 11 & Rule 12 of Legal Metrology (Packaged Commodities) Rules 2011. Metric SI units (ml/l) are mandatory in India.,CRITICAL,Section 36 Legal Metrology Act 2009 (Fine up to ₹25000 for first offence ₹50000 for second offence ₹100000/1 year imprisonment for subsequent offences)
fluid ounce,Fluid Ounce,Imperial Volume,Prohibited under Rule 11 & Rule 12 of Legal Metrology (Packaged Commodities) Rules 2011. Metric SI units (ml/l) are mandatory in India.,CRITICAL,Section 36 Legal Metrology Act 2009 (Fine up to ₹25000 for first offence ₹50000 for second offence ₹100000/1 year imprisonment for subsequent offences)
fluid ounces,Fluid Ounce,Imperial Volume,Prohibited under Rule 11 & Rule 12 of Legal Metrology (Packaged Commodities) Rules 2011. Metric SI units (ml/l) are mandatory in India.,CRITICAL,Section 36 Legal Metrology Act 2009 (Fine up to ₹25000 for first offence ₹50000 for second offence ₹100000/1 year imprisonment for subsequent offences)
oz,Ounce,Imperial Mass,Prohibited under Rule 11 & Rule 12 of Legal Metrology (Packaged Commodities) Rules 2011. Metric SI units (g/kg) are mandatory in India.,CRITICAL,Section 36 Legal Metrology Act 2009 (Fine up to ₹25000 for first offence ₹50000 for second offence ₹100000/1 year imprisonment for subsequent offences)
ounce,Ounce,Imperial Mass,Prohibited under Rule 11 & Rule 12 of Legal Metrology (Packaged Commodities) Rules 2011. Metric SI units (g/kg) are mandatory in India.,CRITICAL,Section 36 Legal Metrology Act 2009 (Fine up to ₹25000 for first offence ₹50000 for second offence ₹100000/1 year imprisonment for subsequent offences)
ounces,Ounces,Imperial Mass,Prohibited under Rule 11 & Rule 12 of Legal Metrology (Packaged Commodities) Rules 2011. Metric SI units (g/kg) are mandatory in India.,CRITICAL,Section 36 Legal Metrology Act 2009 (Fine up to ₹25000 for first offence ₹50000 for second offence ₹100000/1 year imprisonment for subsequent offences)
